height_cm,weight_kg,weight_lb,steps_daily,resting_hr,schema_version,sensor_noise,vo2max
170.4,57.0,125.7,10387,60.4,3,0.9895,36.02
162.3,56.9,125.4,11340,76.0,3,0.5924,35.79
184.5,57.4,126.5,6611,56.2,3,0.2145,32.5
169.6,52.8,116.5,7512,68.4,3,0.8912,27.44
172.2,54.8,120.9,10964,48.9,3,0.9557,44.1
165.1,48.5,106.9,7789,55.6,3,0.6886,33.66
179.3,54.9,121.0,6138,72.0,3,0.1043,22.04
178.8,53.8,118.7,6401,61.3,3,0.439,30.33
165.9,53.4,117.8,2861,69.2,3,0.3298,20.28
165.8,49.6,109.3,3855,62.1,3,0.0316,24.2
184.1,61.1,134.7,12230,58.4,3,0.2623,38.96
158.1,40.2,88.7,2250,72.5,3,0.502,21.04
166.2,50.3,110.9,4984,64.4,3,0.7632,28.75
158.9,40.2,88.7,7277,63.9,3,0.7476,33.82
167.8,45.0,99.3,9538,66.8,3,0.264,41.54
167.3,50.7,111.8,9960,76.8,3,0.7742,33.06
177.6,57.6,127.1,11674,64.8,3,0.0423,38.89
177.8,61.5,135.6,11183,55.2,3,0.0408,36.06
175.9,53.5,117.9,8687,52.6,3,0.4032,38.34
182.5,59.7,131.7,10845,44.8,3,0.1362,43.65
175.5,52.3,115.2,9815,57.2,3,0.5739,40.26
170.1,54.6,120.3,6273,55.9,3,0.3832,27.74
178.1,57.0,125.7,6557,53.1,3,0.7319,28.64
171.8,53.1,117.1,6932,58.6,3,0.4272,28.72
167.6,52.3,115.3,8155,70.1,3,0.1004,32.73
175.9,58.8,129.5,7137,49.5,3,0.8454,29.78
151.0,46.2,101.8,7720,58.7,3,0.6265,37.11
180.9,63.4,139.8,12250,49.1,3,0.1359,42.09
163.5,60.4,133.2,9819,65.4,3,0.9528,31.86
191.7,62.5,137.9,8277,53.7,3,0.3124,30.21
170.9,42.7,94.2,6785,56.8,3,0.4005,32.85
182.9,66.5,146.5,11228,49.0,3,0.4336,38.62
182.8,65.6,144.7,8002,63.6,3,0.9366,27.38
164.2,48.8,107.7,5548,68.1,3,0.1047,31.0
173.2,63.5,139.9,5211,61.3,3,0.4689,21.99
160.0,37.1,81.7,7750,49.0,3,0.6684,38.93
172.2,57.1,125.8,6404,55.5,3,0.7989,29.53
162.6,54.3,119.7,6669,55.1,3,0.5307,31.62
179.0,63.1,139.0,10897,62.8,3,0.6299,35.68
173.6,58.2,128.2,4206,66.4,3,0.8363,20.55
170.4,56.7,125.1,9438,66.9,3,0.6822,36.3
171.5,50.0,110.3,8154,64.8,3,0.0053,32.11
177.1,57.7,127.1,10626,41.6,3,0.8889,41.84
160.9,46.7,102.9,10125,58.5,3,0.0963,43.9
177.1,51.8,114.1,7873,76.0,3,0.8165,27.17
169.2,42.6,94.0,10108,66.6,3,0.8593,35.48
172.5,59.1,130.4,8309,64.4,3,0.52,30.54
161.8,51.2,112.8,9567,57.7,3,0.3407,39.17
169.9,61.4,135.3,11329,68.1,3,0.6794,32.89
154.7,49.1,108.2,6851,54.3,3,0.4642,35.0
152.2,38.0,83.8,10041,55.6,3,0.9807,41.7
163.0,57.0,125.7,6363,48.6,3,0.2,32.73
163.7,42.4,93.4,5656,68.0,3,0.9968,30.23
183.4,56.9,125.4,8918,66.5,3,0.6748,34.02
159.6,46.5,102.5,9724,49.6,3,0.6998,39.67
144.7,40.3,88.7,4312,84.2,3,0.4282,22.85
168.9,54.8,120.9,7286,58.3,3,0.2014,30.13
173.3,49.8,109.7,9930,54.8,3,0.5057,36.8
161.5,45.2,99.7,11946,66.5,3,0.0052,41.38
187.8,62.6,138.1,8806,57.6,3,0.512,30.28
155.6,47.6,104.9,4645,57.5,3,0.0905,29.18
179.4,66.8,147.2,8086,74.7,3,0.5753,25.53
160.0,47.1,103.9,3925,70.2,3,0.9368,22.25
168.3,53.0,116.9,8785,52.7,3,0.3954,33.75
185.4,63.7,140.4,4525,44.2,3,0.2406,28.64
178.4,49.5,109.1,2934,63.9,3,0.1884,18.16
179.1,63.5,140.1,5223,70.0,3,0.4015,21.6
168.7,48.5,107.0,4077,60.7,3,0.3329,26.19
187.1,51.1,112.6,12634,64.5,3,0.3614,41.91
170.6,49.9,109.9,10174,55.2,3,0.2214,36.08
168.1,47.8,105.5,14341,59.7,3,0.3133,48.55
180.3,61.3,135.2,10566,62.6,3,0.8816,37.83
170.2,55.8,123.1,6023,55.4,3,0.8295,31.24
165.5,49.1,108.3,13535,51.6,3,0.0189,51.12
170.2,59.5,131.2,10705,68.6,3,0.8534,35.91
178.3,55.8,123.0,8594,64.8,3,0.4645,32.44
160.6,45.2,99.7,9657,61.4,3,0.8722,39.47
163.6,45.4,100.1,11030,57.9,3,0.5209,43.6
174.6,58.3,128.6,10132,50.8,3,0.3705,40.62
155.2,46.2,102.0,11755,32.5,3,0.3302,54.2
160.2,49.1,108.2,11725,59.2,3,0.9325,40.62
172.6,60.7,133.7,4122,63.3,3,0.8887,21.25
186.6,64.8,142.9,11950,57.7,3,0.4434,39.17
174.4,54.9,121.0,7811,56.7,3,0.324,31.26
166.5,53.7,118.4,6702,62.7,3,0.0389,31.31
167.3,51.1,112.8,9084,58.4,3,0.763,34.78
157.5,50.1,110.5,6816,55.5,3,0.7106,34.03
188.4,62.8,138.5,8309,53.8,3,0.5781,28.75
175.0,55.3,122.0,7173,66.2,3,0.0165,29.89
175.1,55.9,123.2,13416,45.8,3,0.2395,46.9
173.6,58.2,128.2,4153,51.0,3,0.1457,29.43
180.1,51.6,113.8,10285,47.7,3,0.0946,43.84
179.7,61.9,136.5,6576,54.9,3,0.4452,28.03
165.9,51.3,113.0,10280,67.2,3,0.6835,37.21
161.1,50.6,111.6,6875,66.6,3,0.3,32.28
173.3,55.2,121.7,6337,58.2,3,0.3794,31.23
157.0,48.1,106.0,6472,70.6,3,0.0549,29.65
155.2,58.8,129.6,5677,62.8,3,0.157,30.59
184.8,69.2,152.7,5614,63.1,3,0.1922,20.25
159.0,51.6,113.7,4683,54.4,3,0.4798,27.61
169.8,61.6,135.8,11990,52.2,3,0.0731,38.31
157.7,45.4,100.0,10784,43.3,3,0.7623,42.61
166.8,49.3,108.7,8391,62.2,3,0.7577,34.85
189.5,67.0,147.7,11731,50.9,3,0.4887,41.55
173.1,57.5,126.7,4173,66.3,3,0.1645,19.88
174.4,63.7,140.4,7272,57.1,3,0.489,31.16
165.2,53.2,117.2,10717,70.2,3,0.1556,37.03
163.9,52.8,116.5,4601,58.8,3,0.4673,26.72
170.0,48.8,107.6,5620,63.7,3,0.7726,25.78
172.1,58.4,128.8,8991,69.6,3,0.7977,29.41
175.2,54.5,120.1,4243,63.1,3,0.5133,24.87
175.1,58.4,128.8,10525,58.4,3,0.5139,40.06
171.3,58.8,129.7,5539,49.8,3,0.8749,28.23
