tenure_months,monthly_charges,total_charges,contract_type,support_tickets,has_fiber,paperless_billing,payment_auto,avg_latency_ms,churned
32,109.8,3481.21,1,9,1,0,0,54.7,1
41,44.98,1751.99,2,1,1,0,1,61.9,0
55,67.27,3692.33,0,9,1,0,1,74.4,1
14,22.81,321.96,2,3,0,0,1,96.3,0
61,70.22,4191.32,2,5,1,1,1,79.4,0
16,91.91,1345.62,2,5,0,1,1,63.4,0
54,81.86,4821.45,2,5,1,0,0,61.7,1
29,118.42,3639.13,1,7,0,0,0,78.5,1
25,65.92,1663.91,2,3,0,1,1,49.5,0
17,96.98,1707.62,1,5,0,1,1,42.7,0
62,19.27,1224.22,2,4,1,0,1,57.7,0
11,84.93,901.48,1,2,1,1,0,97.7,1
18,72.06,1232.23,1,9,0,0,0,104.9,1
13,76.85,1005.95,0,2,1,1,0,76.5,1
12,85.85,1017.55,2,4,0,1,0,29.6,0
15,74.51,1110.29,1,6,0,0,1,61.3,0
19,89.04,1712.93,0,7,0,0,0,85.2,1
38,103.06,3547.0,1,6,1,0,0,46.8,0
6,87.26,536.68,1,1,1,1,0,108.9,1
44,28.45,1189.6,2,5,1,1,0,65.1,1
7,101.67,712.6,1,5,1,1,1,50.1,1
27,84.46,2092.32,0,5,0,1,1,116.7,1
6,58.89,376.09,2,6,0,1,1,76.0,1
61,79.87,4831.03,2,0,1,0,0,78.7,0
23,29.14,708.63,0,0,1,0,0,38.4,1
72,90.01,6582.18,1,2,1,0,1,102.1,0
7,68.78,470.59,2,0,0,1,1,66.0,0
20,66.54,1201.85,1,8,0,0,1,73.4,1
1,19.93,20.8,2,1,0,0,0,73.3,0
32,64.08,2103.31,2,2,0,1,0,68.7,0
64,65.06,4428.11,1,0,0,0,0,106.1,0
11,57.89,665.8,1,9,0,1,0,45.3,1
61,86.69,5238.12,0,1,1,0,1,27.1,0
35,97.46,3617.09,2,5,1,1,0,43.8,0
43,105.96,4453.63,2,0,0,1,1,88.6,0
49,79.18,3947.05,0,7,1,0,1,67.9,1
6,47.85,290.18,0,9,0,1,1,64.0,1
49,39.04,1819.12,2,3,1,0,1,53.4,0
2,98.17,211.93,1,8,0,1,0,73.5,1
67,51.1,3561.38,2,9,0,0,0,75.6,1
47,76.79,3873.59,1,6,0,0,0,95.8,0
48,82.27,3628.37,0,2,1,0,1,63.5,1
27,118.04,3357.43,2,7,0,1,1,15.9,1
17,44.4,763.46,0,5,0,0,1,77.0,1
59,67.68,4105.43,0,9,1,0,0,68.5,1
65,58.31,4124.57,1,2,1,0,0,98.0,0
8,109.28,787.83,0,0,1,1,0,87.6,1
26,86.69,2084.51,1,9,1,0,1,61.4,1
62,56.96,3203.8,1,3,0,0,1,66.6,0
29,26.78,702.33,2,5,0,1,0,92.0,0
10,64.23,606.54,1,5,0,1,0,60.4,0
8,37.02,275.77,1,8,0,1,0,67.4,1
35,76.1,2654.14,1,5,0,1,1,91.3,0
20,116.86,2273.76,0,3,1,1,0,69.2,1
34,118.81,4222.51,0,1,1,1,1,76.8,0
38,33.44,1383.47,2,0,1,1,0,28.7,0
37,37.58,1301.51,1,0,1,0,1,57.7,0
30,90.16,2508.45,0,9,0,0,1,71.1,1
25,77.29,1847.91,0,0,0,1,0,47.0,0
64,28.03,1746.24,1,7,0,1,0,88.5,1
21,89.23,1820.13,2,9,0,1,1,79.4,1
32,100.65,3229.38,1,6,0,1,0,98.0,1
68,99.45,6508.21,0,0,0,0,0,58.9,0
72,100.72,7362.77,0,0,0,0,1,103.6,0
67,42.84,2866.6,1,1,1,0,0,82.3,0
65,95.15,5847.1,0,1,0,1,0,52.7,0
60,93.66,5930.82,0,0,1,1,0,22.8,0
44,59.07,2692.73,1,6,1,1,0,63.6,1
46,43.93,2022.71,1,0,1,0,0,94.2,0
3,41.55,118.81,1,6,1,0,0,105.0,1
35,81.82,3121.93,0,9,0,1,0,43.6,1
37,30.3,1217.95,1,2,0,0,1,98.8,0
57,31.39,1805.8,0,4,1,1,1,70.4,1
59,80.0,4826.48,2,3,1,0,1,39.4,0
61,100.88,6259.13,0,3,1,0,0,45.5,1
2,111.42,210.19,0,3,1,1,1,63.6,1
8,96.21,821.15,0,8,0,1,1,53.5,1
46,92.54,4406.12,0,8,0,0,1,57.9,1
36,101.12,3575.1,2,1,1,1,0,60.0,0
71,77.58,5375.5,1,6,0,1,1,93.8,0
58,88.26,5270.81,1,5,1,1,1,36.8,0
1,97.71,96.45,1,6,1,1,0,26.1,1
49,77.16,4091.3,0,5,1,0,1,77.5,1
2,21.56,43.27,1,9,1,1,1,5,1
67,91.71,6695.0,1,6,1,1,0,50.7,0
9,71.52,641.97,0,6,1,1,0,117.0,1
57,95.73,5812.41,2,5,0,0,1,41.3,0
66,36.56,2271.94,2,4,1,1,0,24.5,0
25,60.23,1356.01,0,9,0,1,0,68.7,1
71,19.39,1391.35,1,6,0,0,0,79.7,0
35,106.11,3727.53,2,8,0,0,1,58.8,0
66,29.66,1786.12,0,1,0,1,1,35.6,0
2,87.46,179.42,2,5,0,0,1,69.0,0
9,53.89,510.62,1,9,1,0,0,74.7,1
